GOAT Rank (2015),Artist,Album
1,Adele,21
2,Soundtrack,The Sound of Music
3,Michael Jackson,Thriller
4,Taylor Swift,Fearless
5,Bruce Springsteen,Born in the U.S.A.
6,Garth Brooks,Ropin' the Wind
7,Alanis Morissette,Jagged Little Pill
8,Soundtrack,Doctor Zhivago
9,Nickelback,All the Right Reasons
10,Carole King,Tapestry
11,Whitney Houston,Whitney Houston
12,Lady Gaga,The Fame
13,Herb Alpert's Tijuana Brass,Whipped Cream & Other Delights
14,Shania Twain,Come On Over
15,Fleetwood Mac,Rumours
16,Usher,Confessions
17,Soundtrack,Frozen
18,Taylor Swift,Taylor Swift
19,Paula Abdul,Forever Your Girl
20,Billy Ray Cyrus,Some Gave All
21,Celine Dion,Falling Into You
22,Carrie Underwood,Some Hearts
23,Whitney Houston,The Bodyguard
24,M.C. Hammer,Please Hammer Don't Hurt 'Em
25,Def Leppard,Hysteria
26,Norah Jones,Come Away With Me
27,Daughtry,Daughtry
28,Linkin Park,[Hybrid Theory]
29,Garth Brooks,No Fences
30,Hootie & The Blowfish,Cracked Rear View
31,Pink Floyd,The Dark Side Of The Moon
32,Evanescence,Fallen
33,Bon Jovi,Slippery When Wet
34,Creed,Human Clay
35,Soundtrack,Mary Poppins
36,Santana,Supernatural
37,Imagine Dragons,Night Visions
38,Peter Frampton,Frampton Comes Alive
39,Elton John,Goodbye Yellow Brick Road
40,Metallica,Metallica
41,Britney Spears,...Baby One More Time
42,Backstreet Boys,Backstreet Boys
43,Soundtrack,Saturday Night Fever
44,Herb Alpert & The Tijuana Brass,!!Going Places!!
45,Pearl Jam,Ten
46,Foreigner,4
47,Journey,Escape
48,Lionel Richie,Can't Slow Down
49,Spice Girls,Spice
50,Mariah Carey,Mariah Carey
51,Soundtrack,High School Musical
52,Mariah Carey,The Emancipation Of Mimi
53,"Blood, Sweat & Tears","Blood, Sweat & Tears"
54,The Beatles,Sgt. Pepper's Lonely Hearts Club Band
55,Bruno Mars,Unorthodox Jukebox
56,Eminem,The Eminem Show
57,Michael Bolton,"Time, Love And Tenderness"
58,Avril Lavigne,Let Go
59,Various Artists,Jesus Christ Superstar
60,Soundtrack,Dirty Dancing
61,Boyz II Men,II
62,Iron Butterfly,In-A-Gadda-Da-Vida
63,Kid Rock,Rock N Roll Jesus
64,Taylor Swift,1989
65,Guns N' Roses,Appetite For Destruction
66,REO Speedwagon,Hi Infidelity
67,No Doubt,Tragic Kingdom
68,Lady Antebellum,Need You Now
69,Supertramp,Breakfast In America
70,Backstreet Boys,Millennium
71,Miley Cyrus,Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus
72,Janet Jackson,Control
73,Green Day,American Idiot
74,Fleetwood Mac,Fleetwood Mac
75,Milli Vanilli,Girl You Know It's True
76,Florida Georgia Line,Here's To The Good Times
77,Kelly Clarkson,Breakaway
78,Justin Bieber,My World 2.0
79,Eric Clapton,Unplugged
80,Soundtrack,The Lion King
81,George Michael,Faith
82,Bobby Brown,Don't Be Cruel
83,Shaggy,Hotshot
84,Wilson Phillips,Wilson Phillips
85,Nelly,Country Grammar
86,John Denver,John Denver's Greatest Hits
87,Mariah Carey,Music Box
88,New Kids On The Block,Hangin' Tough
89,Chicago,Chicago II
90,Original Cast,"Hello, Dolly!"
91,Ace Of Base,The Sign
92,Pink Floyd,The Wall
93,Eminem,Recovery
94,Janet Jackson,Janet Jackson's Rhythm Nation 1814
95,Asia,Asia
96,The Black Eyed Peas,The E.N.D.
97,Justin Timberlake,FutureSex/LoveSounds
98,Dire Straits,Brothers In Arms
99,Sam Smith,In The Lonely Hour
100,Fergie,The Dutchess
101,Soundtrack,"O Brother, Where Art Thou?"
102,Men At Work,Business As Usual
103,Soundtrack,The Graduate
104,Rascal Flatts,Me And My Gang
105,The Beatles,A Hard Day's Night (Soundtrack)
106,Mumford & Sons,Sigh No More
107,Alicia Keys,Songs In A Minor
108,Heart,Heart
109,Luke Bryan,Crash My Party
110,Prince And The Revolution,Purple Rain (Soundtrack)
111,*NSYNC,No Strings Attached
112,OutKast,Speakerboxxx/The Love Below
113,Ed Sheeran,X
114,Santana,Abraxas
115,Stevie Wonder,Songs In The Key Of Life
116,Mumford & Sons,Babel
117,Kenny G,Breathless
118,Nirvana,Nevermind
119,Janet Jackson,Janet.
120,Paul McCartney And Wings,Band On The Run
121,Jimi Hendrix,Are You Experienced?
122,Huey Lewis & The News,Sports
123,Original Cast Recording,Hair
124,The Police,Synchronicity
125,Jewel,Pieces Of You
126,TLC,CrazySexyCool
127,U2,The Joshua Tree
128,Alicia Keys,As I Am
129,Boyz II Men,Cooleyhighharmony
130,Phil Collins,No Jacket Required
131,The Beatles,1
132,The Monkees,The Monkees
133,Whitesnake,Whitesnake
134,The Black Eyed Peas,Monkey Business
135,The Beatles,Abbey Road
136,Jason Aldean,My Kinda Party
137,*NSYNC,'N Sync
138,Michael Jackson,Bad
139,50 Cent,Get Rich Or Die Tryin'
140,Taylor Swift,Red
141,Dixie Chicks,Home
142,Soundtrack,Grease
143,Jefferson Starship,Red Octopus
144,Don McLean,American Pie
145,Elton John,Honky Chateau
146,Led Zeppelin,Led Zeppelin II
147,Akon,Konvicted
148,Eagles,The Long Run
149,Michael Jackson,Off The Wall
150,Amy Winehouse,Back To Black
151,John Cougar,American Fool
152,Lil Wayne,Tha Carter III
153,Enya,A Day Without Rain
154,Natalie Cole,Unforgettable: With Love
155,Eagles,One Of These Nights
156,The Monkees,More Of The Monkees
157,P!nk,M!ssundaztood
158,Kris Kross,Totally Krossed Out
159,Whitney Houston,Whitney
160,Soundtrack,Woodstock
161,"Earth, Wind & Fire",That's The Way Of The World (Soundtrack)
162,Nickelback,Silver Side Up
163,Soundtrack,Titanic
164,Celine Dion,Let's Talk About Love
165,Chicago,Chicago V
166,Barbra Streisand,Funny Girl
167,Counting Crows,August And Everything After
168,Billy Joel,Glass Houses
169,Bryan Adams,Reckless
170,Herb Alpert & The Tijuana Brass,What Now My Love
171,Diana Ross & The Supremes,Diana Ross And The Supremes Greatest Hits
172,Green Day,Dookie
173,Cream,Disraeli Gears
174,Nelly,Nellyville
175,Elton John,Captain Fantastic And The Brown Dirt Cowboy
176,Jim Croce,You Don't Mess Around With Jim
177,Neil Young,Harvest
178,"Peter, Paul & Mary",In The Wind
179,Madonna,True Blue
180,Tears For Fears,Songs From The Big Chair
181,Creed,Weathered
182,Nickelback,Dark Horse
183,Tina Turner,Private Dancer
184,Stevie Nicks,Bella Donna
185,Led Zeppelin,Houses Of The Holy
186,One Direction,Up All Night
187,The Beatles,Meet The Beatles!
188,Simon & Garfunkel,Bridge Over Troubled Water
189,Lorde,Pure Heroine
190,Roberta Flack,First Take
191,Billy Joel,52nd Street
192,John Mellencamp,Scarecrow
193,John Denver,Back Home Again
194,Led Zeppelin,Led Zeppelin IV
195,Creedence Clearwater Revival,Cosmo's Factory
196,Soundtrack,Romeo + Juliet
197,matchbox 20,Yourself Or Someone Like You
198,Led Zeppelin,In Through The Out Door
199,Christina Aguilera,Christina Aguilera
200,Justin Timberlake,The 20/20 Experience
